window_id,mode,score
jiufu_2f0c90ece853b4_first30,min,0.11217284341605918
jiufu_2f0c90ece853b4_first30,left,0.07556213218925753
jiufu_2f0c90ece853b4_first30,right,0.07497676251005164
jiufu_57c74728570ec9_first30,mean,0.09118174132369561
jiufu_57c74728570ec9_first30,max,0.04928338562305089
jiufu_57c74728570ec9_first30,min,0.0991193269688025
jiufu_57c74728570ec9_first30,left,0.10484298038530272
jiufu_57c74728570ec9_first30,right,0.034940634925473196
jiufu_2fc7ddf8f284e4_first30,mean,0.0879561772858889
jiufu_2fc7ddf8f284e4_first30,max,0.07158490640919714
jiufu_2fc7ddf8f284e4_first30,min,0.10979570753692046
jiufu_2fc7ddf8f284e4_first30,left,0.05896228490533844
jiufu_2fc7ddf8f284e4_first30,right,0.07807103136082595
jiufu_a04e9f770a2bb9_first30,mean,0.05939067868517991
jiufu_a04e9f770a2bb9_first30,max,0.10460753239821562
jiufu_a04e9f770a2bb9_first30,min,0.05556837521526348
jiufu_a04e9f770a2bb9_first30,left,0.061093253555594064
jiufu_a04e9f770a2bb9_first30,right,0.030317122522076866
jiufu_333df78fe49441_first30,mean,0.16253605536003926
jiufu_333df78fe49441_first30,max,0.19297425695182352
jiufu_333df78fe49441_first30,min,0.13711518808837286
jiufu_333df78fe49441_first30,left,0.16719543488205998
jiufu_333df78fe49441_first30,right,0.056363997381027486
jiufu_4263d1ee2b7d38_first30,mean,0.12271875566003587
jiufu_4263d1ee2b7d38_first30,max,0.2569437707359718
jiufu_4263d1ee2b7d38_first30,min,0.07086813669504882
jiufu_4263d1ee2b7d38_first30,left,0.10267338477910437
jiufu_4263d1ee2b7d38_first30,right,0.07711305243968036
jiufu_7cb985938d0a6a_first30,mean,0.18417786256139895
jiufu_7cb985938d0a6a_first30,max,0.24841988346968893
jiufu_7cb985938d0a6a_first30,min,0.1236933213810943
jiufu_7cb985938d0a6a_first30,left,0.12093757542359314
jiufu_7cb985938d0a6a_first30,right,0.20993822949835994
jiufu_7c448f9ef64639_first30,mean,0.21270957760976605
jiufu_7c448f9ef64639_first30,max,0.24992309812649594
jiufu_7c448f9ef64639_first30,min,0.12239264104683018
jiufu_7c448f9ef64639_first30,left,0.090080072172527
jiufu_7c448f9ef64639_first30,right,0.1378153188167752
jiufu_bc495978774317_first30,mean,0.08657656104316967
jiufu_bc495978774317_first30,max,0.05911907613373789
jiufu_bc495978774317_first30,min,0.08039870932385897
jiufu_bc495978774317_first30,left,0.08620927628109162
jiufu_bc495978774317_first30,right,0.04422909378027701
jiufu_ce8fcc51bec8d3_first30,mean,0.0359144710571433
jiufu_ce8fcc51bec8d3_first30,max,0.0590778634140569
jiufu_ce8fcc51bec8d3_first30,min,0.04375247891507969
jiufu_ce8fcc51bec8d3_first30,left,0.07490546320118617
jiufu_ce8fcc51bec8d3_first30,right,0.08994521463790857
jiufu_e3cef2504bbb4a_first30,mean,0.07951603304879122
