reference,method,window_id,cluster,tp,fp,fn,precision,recall,f1
R2,frozen,jiufu_1686565c1da471_first30,1137,0,0,10,0.0,0.0,0.0
R2,direct_roi_only,jiufu_1686565c1da471_first30,1137,0,0,10,0.0,0.0,0.0
R2,frozen,jiufu_4923eea2509695_first30,1308,14,9,7,0.6086956521739131,0.6666666666666666,0.6363636363636364
R2,direct_roi_only,jiufu_4923eea2509695_first30,1308,14,4,7,0.7777777777777778,0.6666666666666666,0.717948717948718
R2,frozen,jiufu_ff4c4ac565e3b0_first30,1539,3,7,7,0.3,0.3,0.3
R2,direct_roi_only,jiufu_ff4c4ac565e3b0_first30,1539,3,5,7,0.375,0.3,0.3333333333333333
R2,frozen,jiufu_24afbde80aa2d4_first30,493,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143
R2,direct_roi_only,jiufu_24afbde80aa2d4_first30,493,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154
R2,frozen,jiufu_6434f8ad9b4978_first30,659,0,0,17,0.0,0.0,0.0
R2,direct_roi_only,jiufu_6434f8ad9b4978_first30,659,0,0,17,0.0,0.0,0.0
R2,frozen,jiufu_0f495ca37676e0_first30,353,0,0,17,0.0,0.0,0.0
R2,direct_roi_only,jiufu_0f495ca37676e0_first30,353,0,0,17,0.0,0.0,0.0
R2,frozen,jiufu_135fcf30e11031_first30,A1022245,13,6,3,0.6842105263157895,0.8125,0.7428571428571429
R2,direct_roi_only,jiufu_135fcf30e11031_first30,A1022245,14,4,2,0.7777777777777778,0.875,0.8235294117647058
R2,frozen,jiufu_21792037472910_first30,493,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846154
R2,direct_roi_only,jiufu_21792037472910_first30,493,3,3,3,0.5,0.5,0.5
R2,frozen,jiufu_fdc3b301cd9ef1_first30,653,3,3,3,0.5,0.5,0.5
R2,direct_roi_only,jiufu_fdc3b301cd9ef1_first30,653,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
