cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
lindian49,zs170554_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T101929n170554\20230806T101929n170554.MP4,local_event_guard,14,8,9,partial_events_no_full_RR,13,8,10,0.6190476190476191,0.5652173913043478,0.5909090909090909
lindian49,zs170554_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T101929n170554\20230806T101929n170554.MP4,whole_window_guard,14,8,9,partial_events_no_full_RR,0,0,23,0.0,0.0,0.0
lindian49,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,local_event_guard,13,5,8,partial_events_no_full_RR,12,4,9,0.75,0.5714285714285714,0.6486486486486487
lindian49,zs190621_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102337n190621\20230806T102337n190621.MP4,whole_window_guard,13,5,8,partial_events_no_full_RR,0,0,21,0.0,0.0,0.0
lindian49,zs197000_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T101554n197000\20230806T101554n197000.MP4,local_event_guard,23,2,3,complete_output,23,2,3,0.92,0.8846153846153846,0.9019607843137255
lindian49,zs197000_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T101554n197000\20230806T101554n197000.MP4,whole_window_guard,23,2,3,complete_output,23,2,3,0.92,0.8846153846153846,0.9019607843137255
lindian49,zs200751_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T095917n200751\20230806T095917n200751.MP4,local_event_guard,27,2,2,partial_events_no_full_RR,26,2,3,0.9285714285714286,0.896551724137931,0.9122807017543859
lindian49,zs200751_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T095917n200751\20230806T095917n200751.MP4,whole_window_guard,27,2,2,partial_events_no_full_RR,0,0,29,0.0,0.0,0.0
lindian49,zs200783_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T101001n200783\20230806T101001n200783.MP4,local_event_guard,15,7,6,complete_output,15,7,6,0.6818181818181818,0.7142857142857143,0.6976744186046512
lindian49,zs200783_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T101001n200783\20230806T101001n200783.MP4,whole_window_guard,15,7,6,complete_output,15,7,6,0.6818181818181818,0.7142857142857143,0.6976744186046512
lindian49,zs211062_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102804n211062\20230806T102804n211062.MP4,local_event_guard,13,7,3,partial_events_no_full_RR,13,6,3,0.6842105263157895,0.8125,0.7428571428571429
lindian49,zs211062_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806正常\20230806T102804n211062\20230806T102804n211062.MP4,whole_window_guard,13,7,3,partial_events_no_full_RR,0,0,16,0.0,0.0,0.0
jiufu271,jiufu_aed96a8cd6dde3_first30,A1022198,local_event_guard,2,7,9,partial_events_no_full_RR,2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222
jiufu271,jiufu_aed96a8cd6dde3_first30,A1022198,whole_window_guard,2,7,9,partial_events_no_full_RR,0,0,11,0.0,0.0,0.0
jiufu271,jiufu_d57a389e370ce5_first30,508,local_event_guard,15,5,5,partial_events_no_full_RR,13,5,7,0.7222222222222222,0.65,0.6842105263157895
jiufu271,jiufu_d57a389e370ce5_first30,508,whole_window_guard,15,5,5,partial_events_no_full_RR,0,0,20,0.0,0.0,0.0
jiufu271,jiufu_b79d91910dc17a_first30,681,local_event_guard,2,7,11,partial_events_no_full_RR,1,5,12,0.16666666666666666,0.07692307692307693,0.10526315789473684
jiufu271,jiufu_b79d91910dc17a_first30,681,whole_window_guard,2,7,11,partial_events_no_full_RR,0,0,13,0.0,0.0,0.0
jiufu271,jiufu_d31bd7d7642ce6_first30,921,local_event_guard,0,0,11,abstain,0,0,11,0.0,0.0,0.0
jiufu271,jiufu_d31bd7d7642ce6_first30,921,whole_window_guard,0,0,11,abstain,0,0,11,0.0,0.0,0.0
jiufu271,jiufu_73db0107967f0e_first30,683,local_event_guard,0,0,5,abstain,0,0,5,0.0,0.0,0.0
jiufu271,jiufu_73db0107967f0e_first30,683,whole_window_guard,0,0,5,abstain,0,0,5,0.0,0.0,0.0
jiufu271,jiufu_8db6ed7f9c3ad8_first30,677,local_event_guard,7,9,5,partial_events_no_full_RR,6,5,6,0.5454545454545454,0.5,0.5217391304347826
