cohort,review_id,window_id,cluster,strict_visible_phase,prediction_status,version,method,tolerance_seconds,tp,fp,fn,precision,recall,f1
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R3,frozen_baseline,0.3,0,0,12,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R2,frozen_baseline,0.5,0,0,13,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R3,frozen_baseline,0.5,0,0,12,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R2,frozen_baseline,0.75,0,0,13,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R3,frozen_baseline,0.75,0,0,12,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R2,frozen_baseline,1.0,0,0,13,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R3,frozen_baseline,1.0,0,0,12,0.0,0.0,0.0
jiufu271,R3-06,jiufu_6328167f32f25e_first30,1371,False,abstain,R3,previously_rejected_local_guard,0.3,0,0,12,0.0,0.0,0.0
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R2,frozen_baseline,0.1,10,19,19,0.3448275862068966,0.3448275862068966,0.3448275862068966
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R3,frozen_baseline,0.1,7,22,20,0.2413793103448276,0.25925925925925924,0.25
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R2,frozen_baseline,0.2,17,12,12,0.5862068965517241,0.5862068965517241,0.5862068965517241
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R3,frozen_baseline,0.2,23,6,4,0.7931034482758621,0.8518518518518519,0.8214285714285714
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R2,frozen_baseline,0.3,20,9,9,0.6896551724137931,0.6896551724137931,0.6896551724137931
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R3,frozen_baseline,0.3,25,4,2,0.8620689655172413,0.9259259259259259,0.8928571428571429
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R2,frozen_baseline,0.5,28,1,1,0.9655172413793104,0.9655172413793104,0.9655172413793104
lindian49,R3-07,bs200794_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T090015n200794\20230807T090015n200794.MP4,True,ok,R3,frozen_baseline,0.5,27,2,0,0.9310344827586207,1.0,0.9642857142857143
